6/4/2023/3,744088,965938
6/4/2023/4,746594,966728
6/4/2023/5,747691,1009921
6/4/2023/6,741820,1085784
6/4/2023/7,740311,1125263
6/4/2023/8,749165,1156390
6/4/2023/9,749902,1145059
6/4/2023/10,744897,1087228
6/4/2023/11,752423,1078854
6/4/2023/12,745791,1303057
6/4/2023/13,740946,1424218
